Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
274,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19-319,2001,13,6,571,6.3,0,0.16,0.16,0,0.16,0.1,0.12,0.22,0.1,0.22
275,Kuki\Kuki,es ESP,MF,Valladolid,22-349,1998,2,0,30,0.3,0,3,3,0,3,0,0.16,0.16,0,0.16
276,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,31-165,1989,26,24,2091,23.2,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
277,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,20-314,2000,15,6,609,6.8,0,0.15,0.15,0,0.15,0.12,0.11,0.24,0.12,0.24
278,Toni Lato\Toni-Lato,es ESP,DF,Valencia,23-149,1997,12,5,497,5.5,0.18,0,0.18,0.18,0.18,0.17,0.06,0.24,0.17,0.24
279,Lauti\Lauti,uy URU,MFFW,Celta Vigo,20-069,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0
280,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,24-159,1996,27,24,2213,24.6,0,0,0,0,0,0.05,0,0.06,0.05,0.06
281,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,28-065,1993,28,28,2520,28,0,0,0,0,0,0,0,0,0,0
282,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29-334,1991,27,27,2385,26.5,0.04,0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
283,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,27-350,1993,14,3,405,4.5,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11
284,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,25-158,1995,24,17,1266,14.1,0.07,0.21,0.28,0.07,0.28,0.08,0.14,0.22,0.08,0.22
285,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,25-306,1995,27,23,1988,22.1,0.05,0,0.05,0.05,0.05,0.06,0.04,0.1,0.06,0.1
286,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,34-146,1986,20,9,799,8.9,0.11,0.11,0.23,0.11,0.23,0.07,0.21,0.28,0.07,0.28
287,Sergio León\Sergio-Leon,es ESP,FW,Levante,32-103,1989,23,6,663,7.4,0.14,0,0.14,0.14,0.14,0.29,0.05,0.34,0.29,0.34
288,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,27-246,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0
289,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,26-079,1995,30,26,2349,26.1,0.42,0.31,0.73,0.42,0.73,0.12,0.11,0.23,0.12,0.23
290,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,23-011,1998,18,9,907,10.1,0,0.2,0.2,0,0.2,0.05,0.11,0.16,0.05,0.16
291,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,37-169,1983,15,9,877,9.7,0,0.1,0.1,0,0.1,0.01,0.05,0.06,0.01,0.06
292,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,33-101,1988,15,4,409,4.5,0.22,0.22,0.44,0.22,0.44,0.28,0.16,0.44,0.28,0.44
293,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,19-108,2002,9,1,248,2.8,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
294,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,20-360,2000,14,4,441,4.9,0.61,0,0.61,0.61,0.61,0.17,0.19,0.36,0.17,0.36
295,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,25-171,1995,19,12,1098,12.2,0.25,0,0.25,0.25,0.25,0.07,0.08,0.15,0.07,0.15
296,Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,27-359,1993,23,14,1122,12.5,0.24,0.08,0.32,0.24,0.32,0.39,0.05,0.44,0.39,0.44
297,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,26-011,1995,2,1,49,0.5,0,0,0,0,0,0,0,0,0,0
